"code","row","Date","Group","Speaker","Process"
"IE",1,507,"B","S","G"
"IE",2,507,"B","K","G"
"GO",3,507,"B","S","G"
"EA",3,507,"B","S","G"
"GO",4,507,"B","B","G"
"EA",5,507,"B","S","G"
"TP",6,507,"B","B","G"
"GO",7,507,"B","K","G"
"GO",8,507,"B","B","G"
"IE",9,507,"B","S","G"
"GO",9,507,"B","S","G"
"GO",10,507,"B","K","G"
"EA",11,507,"B","S","G"
"EA",12,507,"B","K","G"
"TP",13,507,"B","S","G"
"TP",14,507,"B","B","G"
"GO",15,507,"B","D","G"
"TP",16,507,"B","S","G"
"OF",17,507,"B","","G"
"EA",18,507,"B","B","G"
"GO",19,507,"B","S","G"
"TP",20,507,"B","B","G"
"IE",21,507,"B","D","G"
"IE",22,507,"B","S","G"
"EA",22,507,"B","S","G"
"GO",22,507,"B","S","G"
"TP",23,507,"B","B","G"
"IE",24,507,"B","S","G"
"TP",25,507,"B","B","G"
"EA",25,507,"B","B","G"
"KS",26,507,"B","S","G"
"TP",26,507,"B","S","G"
"TP",27,507,"B","B","G"
"EA",28,507,"B","K","G"
"EA",29,507,"B","S","G"
"IE",30,507,"B","B","G"
"IE",31,507,"B","K","G"
"KS",32,507,"B","S","G"
"GO",33,507,"B","D","G"
"TP",34,507,"B","S","G"
"IE",35,507,"B","K","G"
"UC",36,507,"B","","G"
"IE",37,507,"B","S","G"
" ",39,507,"B","K","G"
"IE",40,507,"B","S","G"
"TP",41,507,"B","K","G"
"OF",42,507,"B","K","G"
"OF",43,507,"B","S","G"
"TP",43,507,"B","S","G"
"TP",44,507,"B","B","G"
"OF",45,507,"B","B","G"
"TP",47,507,"B","S","G"
" ",48,507,"B","D","G"
"TP",49,507,"B","S","G"
"TP",50,507,"B","B","G"
"TP",51,507,"B","S","G"
"TP",52,507,"B","B","G"
"GO",53,507,"B","D","G"
"EA",54,507,"B","B","G"
"GO",54,507,"B","B","G"
"EA",55,507,"B","D","G"
"GO",55,507,"B","D","G"
"GO",56,507,"B","K","G"
"EA",57,507,"B","S","G"
"TP",58,507,"B","K","G"
"GO",59,507,"B","S","G"
"EA",60,507,"B","K","G"
" ",61,507,"B","S","G"
"TP",62,507,"B","K","G"
"IE",63,507,"B","B","G"
"IE",64,507,"B","D","G"
"GO",65,507,"B","K","G"
"IE",66,507,"B","S","G"
"TP",67,507,"B","D","G"
"IE",68,507,"B","S","G"
"IE",69,507,"B","K","G"
"GO",70,507,"B","S","G"
